Дата і час,Температура повітря,Температура точки роси,Опади,Атмосферний тиск,Напрямок вітру,Швидкість вітру,Радіаційний фон,
18.05.2025 9:00,1.2,.9,4.0 (12),,250,15,,
18.05.2025 6:00,.9,.6,,,250,8,,
18.05.2025 3:00,1.2,.9,1.0 (6),,250,6,,
18.05.2025 0:00,1.6,.5,,,250,4,,
17.05.2025 21:00,2.2,1.4,3.0 (12),,230,4,,
17.05.2025 18:00,2.8,1.8,,,250,6,,
17.05.2025 15:00,3.1,1.5,2.0 (6),,250,4,,
17.05.2025 12:00,5.2,.6,,,250,1,,
17.05.2025 9:00,2.7,-.9,,,0,0,,
17.05.2025 6:00,.8,-2.5,,,140,1,,
17.05.2025 3:00,-.2,-1.1,,,0,0,,
17.05.2025 0:00,.7,.1,,,0,0,,
16.05.2025 21:00,.8,.3,,,0,0,,
16.05.2025 18:00,1.8,1.3,,,140,1,,
16.05.2025 15:00,3.4,2.4,,,0,0,,
16.05.2025 12:00,1.1,.3,,,0,0,,
16.05.2025 9:00,-1.8,-2.3,21.0 (12),,0,0,,
16.05.2025 6:00,-2.6,-2.9,,,160,1,,
16.05.2025 3:00,1.0,.7,16.0 (6),,140,1,,
16.05.2025 0:00,1.4,.9,,,270,2,,
15.05.2025 21:00,2.7,2.4,26.0 (12),,250,4,,
15.05.2025 18:00,2.4,2.2,,,250,8,,
15.05.2025 15:00,2.8,2.5,11.0 (6),,270,15,,
15.05.2025 12:00,2.0,1.5,,,270,15,,
15.05.2025 9:00,2.8,1.2,1.0 (12),,270,8,,
15.05.2025 6:00,2.6,.8,,,270,8,,
15.05.2025 3:00,2.4,1.4,1.0 (6),,250,7,,
15.05.2025 0:00,2.5,.6,,,250,4,,
14.05.2025 21:00,2.4,.0,,,270,9,,
14.05.2025 18:00,3.2,-1.2,,,250,8,,
14.05.2025 15:00,4.8,-2.2,,,250,6,,
14.05.2025 12:00,4.0,-2.9,,,250,2,,
14.05.2025 9:00,2.4,-1.2,,,250,3,,
14.05.2025 6:00,-.3,-1.8,,,250,4,,
14.05.2025 3:00,1.6,-3.5,,,0,0,,
14.05.2025 0:00,.3,-1.8,,,250,2,,
13.05.2025 21:00,1.4,-.8,,,0,0,,
13.05.2025 18:00,3.2,-1.6,,,0,0,,
13.05.2025 15:00,2.6,-1.3,,,250,2,,
13.05.2025 12:00,1.4,-2.4,,,0,0,,
13.05.2025 9:00,-.6,-2.4,,,0,0,,
13.05.2025 6:00,-2.7,-3.7,,,0,0,,
13.05.2025 3:00,-2.5,-3.8,,,0,0,,
13.05.2025 0:00,-2.4,-3.3,,,0,0,,
12.05.2025 21:00,-1.4,-1.9,6.0 (12),,0,0,,
12.05.2025 18:00,-.7,-1.4,,,0,0,,
12.05.2025 15:00,.2,-.9,2.0 (6),,290,3,,
12.05.2025 12:00,-1.9,-2.7,,,0,0,,
12.05.2025 9:00,-1.5,-2.3,,,70,1,,
12.05.2025 6:00,-2.8,-3.5,,,0,0,,
12.05.2025 3:00,-2.4,-2.8,,,0,0,,
12.05.2025 0:00,-2.0,-2.3,,,0,0,,
11.05.2025 21:00,-1.2,-1.9,6.0 (12),,70,2,,
11.05.2025 18:00,-.2,-1.7,,,0,0,,
11.05.2025 15:00,-.4,-2.5,6.0 (6),,90,2,,
11.05.2025 12:00,-2.0,-2.6,,,110,3,,
