Дата і час,Температура повітря,Температура точки роси,Опади,Атмосферний тиск,Напрямок вітру,Швидкість вітру,Радіаційний фон,
24.05.2025 6:00,6.5,6.1,,,0,0,,
24.05.2025 3:00,4.8,4.3,5.0 (6),,0,0,,
24.05.2025 0:00,6.8,6.4,,,0,0,,
23.05.2025 21:00,8.0,.0,14.0 (12),,0,0,,
23.05.2025 18:00,9.1,8.6,,,0,0,,
23.05.2025 15:00,8.8,7.7,9.0 (6),,270,3,,
23.05.2025 12:00,13.7,12.1,,,270,2,,
23.05.2025 9:00,9.4,7.1,,,270,1,,
23.05.2025 6:00,8.2,5.8,,,230,5,,
23.05.2025 3:00,8.6,7.1,,,250,7,,
23.05.2025 0:00,8.8,7.3,,,250,4,,
22.05.2025 21:00,9.2,7.3,1.0 (12),,250,3,,
22.05.2025 18:00,10.8,7.3,,,270,3,,
22.05.2025 15:00,12.9,4.6,1.0 (6),,270,1,,
22.05.2025 12:00,9.3,7.1,,,250,3,,
22.05.2025 9:00,9.0,4.8,,,250,2,,
22.05.2025 6:00,7.8,1.7,,,230,3,,
22.05.2025 3:00,7.3,2.3,,,230,1,,
22.05.2025 0:00,7.6,2.3,,,200,2,,
21.05.2025 21:00,9.1,8.9,,,270,8,,
21.05.2025 18:00,11.2,1.7,,,200,1,,
21.05.2025 15:00,11.8,1.5,,,230,2,,
21.05.2025 12:00,9.5,2.1,,,230,2,,
21.05.2025 9:00,7.9,.9,,,0,0,,
21.05.2025 6:00,3.4,1.1,,,270,3,,
21.05.2025 3:00,3.4,1.6,,,250,6,,
21.05.2025 0:00,2.8,2.3,,,250,8,,
20.05.2025 21:00,2.4,1.9,,,270,7,,
20.05.2025 18:00,2.8,2.3,,,270,6,,
20.05.2025 15:00,2.3,1.5,,,290,8,,
20.05.2025 12:00,2.1,.5,,,270,6,,
20.05.2025 9:00,1.7,-2.1,,,270,5,,
20.05.2025 6:00,.3,-1.1,,,270,4,,
20.05.2025 3:00,-.1,-.9,,,250,5,,
20.05.2025 0:00,-.3,-1.5,,,270,4,,
19.05.2025 21:00,-.2,-1.7,16.0 (12),,270,4,,
19.05.2025 18:00,1.3,-.1,,,250,4,,
19.05.2025 15:00,1.2,-.5,14.0 (6),,270,4,,
19.05.2025 12:00,1.4,.6,,,250,2,,
19.05.2025 9:00,.6,.3,32.0 (12),,250,4,,
19.05.2025 6:00,.7,.4,,,250,10,,
19.05.2025 3:00,.8,.5,15.0 (6),,270,6,,
19.05.2025 0:00,2.1,1.6,,,270,8,,
18.05.2025 21:00,2.6,2.1,15.0 (12),,250,4,,
18.05.2025 18:00,2.4,1.4,,,270,8,,
18.05.2025 15:00,1.2,.9,11.0 (6),,270,6,,
18.05.2025 12:00,1.4,1.1,,,270,10,,
18.05.2025 9:00,1.2,.9,4.0 (12),,250,15,,
18.05.2025 6:00,.9,.6,,,250,8,,
18.05.2025 3:00,1.2,.9,1.0 (6),,250,6,,
18.05.2025 0:00,1.6,.5,,,250,4,,
17.05.2025 21:00,2.2,1.4,3.0 (12),,230,4,,
17.05.2025 18:00,2.8,1.8,,,250,6,,
17.05.2025 15:00,3.1,1.5,2.0 (6),,250,4,,
17.05.2025 12:00,5.2,.6,,,250,1,,
17.05.2025 9:00,2.7,-.9,,,0,0,,
