Дата і час,Температура повітря,Температура точки роси,Опади,Атмосферний тиск,Напрямок вітру,Швидкість вітру,Радіаційний фон,
10.06.2025 6:00,5.2,4.5,,,0,0,,
10.06.2025 3:00,5.9,4.7,,,0,0,,
10.06.2025 0:00,7.9,5.9,,,290,3,,
09.06.2025 21:00,9.1,5.6,,,290,5,,
09.06.2025 18:00,11.5,2.3,,,270,2,,
09.06.2025 15:00,11.7,5.9,,,250,4,,
09.06.2025 12:00,12.8,7.7,,,250,2,,
09.06.2025 9:00,11.2,8.5,7.0 (12),,250,2,,
09.06.2025 6:00,10.6,9.4,,,200,4,,
09.06.2025 3:00,12.4,11.7,7.0 (6),,250,2,,
09.06.2025 0:00,13.2,12.3,,,250,1,,
08.06.2025 21:00,15.6,13.6,.5 (12),,250,2,,
08.06.2025 18:00,16.8,13.0,,,160,4,,
08.06.2025 15:00,18.2,11.7,,,230,6,,
08.06.2025 12:00,20.2,9.5,,,250,8,,
08.06.2025 9:00,16.8,11.7,,,250,8,,
08.06.2025 6:00,15.2,10.6,,,250,9,,
08.06.2025 3:00,15.6,10.5,,,250,2,,
08.06.2025 0:00,16.2,10.7,,,250,1,,
07.06.2025 21:00,19.4,8.2,,,0,0,,
07.06.2025 18:00,22.0,6.5,,,250,1,,
07.06.2025 15:00,22.4,9.2,,,230,2,,
07.06.2025 12:00,20.2,10.6,,,140,2,,
07.06.2025 9:00,17.8,12.4,,,140,1,,
07.06.2025 6:00,16.2,12.8,,,250,1,,
07.06.2025 3:00,15.8,12.5,,,250,1,,
07.06.2025 0:00,15.4,12.7,,,250,2,,
06.06.2025 21:00,18.4,11.1,,,250,1,,
06.06.2025 18:00,20.8,9.7,,,230,2,,
06.06.2025 15:00,21.4,9.5,,,230,3,,
06.06.2025 12:00,20.8,9.9,,,230,4,,
06.06.2025 9:00,16.4,12.6,,,250,6,,
06.06.2025 6:00,16.2,11.0,,,180,1,,
06.06.2025 3:00,15.8,12.5,,,0,0,,
06.06.2025 0:00,16.4,13.0,,,0,0,,
05.06.2025 21:00,18.6,11.9,,,250,1,,
05.06.2025 18:00,21.2,8.8,,,180,2,,
05.06.2025 15:00,21.4,9.5,,,250,6,,
05.06.2025 12:00,18.6,9.8,,,250,8,,
05.06.2025 9:00,16.0,11.2,,,250,10,,
05.06.2025 6:00,14.2,11.4,,,250,4,,
05.06.2025 3:00,14.1,11.7,,,230,4,,
05.06.2025 0:00,14.7,9.0,,,250,2,,
04.06.2025 21:00,15.4,10.0,,,250,1,,
04.06.2025 18:00,17.4,8.6,,,250,1,,
04.06.2025 15:00,18.4,9.5,,,230,2,,
04.06.2025 12:00,17.0,8.0,,,200,2,,
04.06.2025 9:00,13.4,9.0,,,250,3,,
04.06.2025 6:00,11.2,9.8,,,290,2,,
04.06.2025 3:00,12.0,10.6,,,290,6,,
04.06.2025 0:00,12.8,11.1,,,250,5,,
03.06.2025 21:00,14.6,12.9,,,160,5,,
03.06.2025 18:00,15.9,13.0,,,160,5,,
03.06.2025 15:00,16.6,11.9,,,160,7,,
03.06.2025 12:00,15.5,11.2,,,340,7,,
03.06.2025 9:00,14.7,10.5,,,340,5,,
