Дата і час,Температура повітря,Температура точки роси,Опади,Атмосферний тиск,Напрямок вітру,Швидкість вітру,Радіаційний фон,
21.05.2025 6:00,3.4,1.1,,,270,3,,
21.05.2025 3:00,3.4,1.6,,,250,6,,
21.05.2025 0:00,2.8,2.3,,,250,8,,
20.05.2025 21:00,2.4,1.9,,,270,7,,
20.05.2025 18:00,2.8,2.3,,,270,6,,
20.05.2025 15:00,2.3,1.5,,,290,8,,
20.05.2025 12:00,2.1,.5,,,270,6,,
20.05.2025 9:00,1.7,-2.1,,,270,5,,
20.05.2025 6:00,.3,-1.1,,,270,4,,
20.05.2025 3:00,-.1,-.9,,,250,5,,
20.05.2025 0:00,-.3,-1.5,,,270,4,,
19.05.2025 21:00,-.2,-1.7,16.0 (12),,270,4,,
19.05.2025 18:00,1.3,-.1,,,250,4,,
19.05.2025 15:00,1.2,-.5,14.0 (6),,270,4,,
19.05.2025 12:00,1.4,.6,,,250,2,,
19.05.2025 9:00,.6,.3,32.0 (12),,250,4,,
19.05.2025 6:00,.7,.4,,,250,10,,
19.05.2025 3:00,.8,.5,15.0 (6),,270,6,,
19.05.2025 0:00,2.1,1.6,,,270,8,,
18.05.2025 21:00,2.6,2.1,15.0 (12),,250,4,,
18.05.2025 18:00,2.4,1.4,,,270,8,,
18.05.2025 15:00,1.2,.9,11.0 (6),,270,6,,
18.05.2025 12:00,1.4,1.1,,,270,10,,
18.05.2025 9:00,1.2,.9,4.0 (12),,250,15,,
18.05.2025 6:00,.9,.6,,,250,8,,
18.05.2025 3:00,1.2,.9,1.0 (6),,250,6,,
18.05.2025 0:00,1.6,.5,,,250,4,,
17.05.2025 21:00,2.2,1.4,3.0 (12),,230,4,,
17.05.2025 18:00,2.8,1.8,,,250,6,,
17.05.2025 15:00,3.1,1.5,2.0 (6),,250,4,,
17.05.2025 12:00,5.2,.6,,,250,1,,
17.05.2025 9:00,2.7,-.9,,,0,0,,
17.05.2025 6:00,.8,-2.5,,,140,1,,
17.05.2025 3:00,-.2,-1.1,,,0,0,,
17.05.2025 0:00,.7,.1,,,0,0,,
16.05.2025 21:00,.8,.3,,,0,0,,
16.05.2025 18:00,1.8,1.3,,,140,1,,
16.05.2025 15:00,3.4,2.4,,,0,0,,
16.05.2025 12:00,1.1,.3,,,0,0,,
16.05.2025 9:00,-1.8,-2.3,21.0 (12),,0,0,,
16.05.2025 6:00,-2.6,-2.9,,,160,1,,
16.05.2025 3:00,1.0,.7,16.0 (6),,140,1,,
16.05.2025 0:00,1.4,.9,,,270,2,,
15.05.2025 21:00,2.7,2.4,26.0 (12),,250,4,,
15.05.2025 18:00,2.4,2.2,,,250,8,,
15.05.2025 15:00,2.8,2.5,11.0 (6),,270,15,,
15.05.2025 12:00,2.0,1.5,,,270,15,,
15.05.2025 9:00,2.8,1.2,1.0 (12),,270,8,,
15.05.2025 6:00,2.6,.8,,,270,8,,
15.05.2025 3:00,2.4,1.4,1.0 (6),,250,7,,
15.05.2025 0:00,2.5,.6,,,250,4,,
14.05.2025 21:00,2.4,.0,,,270,9,,
14.05.2025 18:00,3.2,-1.2,,,250,8,,
14.05.2025 15:00,4.8,-2.2,,,250,6,,
14.05.2025 12:00,4.0,-2.9,,,250,2,,
14.05.2025 9:00,2.4,-1.2,,,250,3,,
